gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,group,game_link
135061,2026-08-17,Brazil,BRA,27,61,South Sudan,SSD,9716,63,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135061-BRA-SSD
135062,2026-08-17,Argentina,ARG,14,35,New Zealand,NZL,113,57,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135062-ARG-NZL
135067,2026-08-17,Canada,CAN,34,72,Senegal,SEN,134,57,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135067-CAN-SEN
135068,2026-08-17,Mexico,MEX,104,61,Philippines,PHI,122,58,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135068-MEX-PHI
135064,2026-08-18,South Sudan,SSD,9716,61,Argentina,ARG,14,64,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135064-SSD-ARG
135063,2026-08-18,New Zealand,NZL,113,53,Brazil,BRA,27,56,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135063-NZL-BRA
135069,2026-08-19,Philippines,PHI,122,38,Canada,CAN,34,85,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135069-PHI-CAN
135070,2026-08-19,Senegal,SEN,134,65,Mexico,MEX,104,79,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135070-SEN-MEX
135065,2026-08-20,Brazil,BRA,27,58,Argentina,ARG,14,53,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135065-BRA-ARG
135066,2026-08-20,New Zealand,NZL,113,82,South Sudan,SSD,9716,74,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,A,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135066-NZL-SSD
135072,2026-08-20,Philippines,PHI,122,79,Senegal,SEN,134,75,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135072-PHI-SEN
135071,2026-08-20,Canada,CAN,34,70,Mexico,MEX,104,64,Mexico,Guadalajara,World,FIBA Women's Olympic Pre-Qualifying Tournament,Group Phase,B,https://www.fiba.basketball/en/events/fiba-womens-olympic-pre-qualifying-tournament-2026-guadalajara-mexico/games/135071-CAN-MEX
