pId,name,uniformNumber,position,nationality,teamId,gameId
215026,Emanuely Oliveira,11.0,SF,Brazil,27,135061
200399,Aline Moura,12.0,PF,Brazil,27,135061
342721,Heloisa Carrera,14.0,C,Brazil,27,135061
203242,Leticia Rodrigues,23.0,PF,Brazil,27,135061
178708,Alana Goncalo,24.0,PG,Brazil,27,135061
393736,Maisa Marçal,32.0,PG,Brazil,27,135061
301995,Letycia Vasconcelos,35.0,C,Brazil,27,135061
302154,Aaliyah Guyton,4.0,PG,Brazil,27,135061
203532,Maria Albiero,5.0,PG,Brazil,27,135061
302000,Taissa Queiroz,55.0,F,Brazil,27,135061
178705,Iza Sangalli,77.0,SF,Brazil,27,135061
392716,Bella Nascimento,8.0,G,Brazil,27,135061
300673,Yar Mayen,11.0,SG,South Sudan,9716,135061
300671,Nyayongah Gony,14.0,F,South Sudan,9716,135061
217250,Adut Bulgak,2.0,C,South Sudan,9716,135061
300672,Perina Leime,21.0,PG,South Sudan,9716,135061
374577,Moira Joiner,22.0,G,South Sudan,9716,135061
300656,Adhel Tac,24.0,SF,South Sudan,9716,135061
374160,Shanyce Makuei,3.0,PG,South Sudan,9716,135061
363373,Piath Gabriel,32.0,C,South Sudan,9716,135061
373877,Maria Gakdeng,5.0,C,South Sudan,9716,135061
336899,Anegor Wol,6.0,SG,South Sudan,9716,135061
300668,Nyamer Diew,7.0,F,South Sudan,9716,135061
259170,Rose Macuei,8.0,F,South Sudan,9716,135061
153423,Agostina Burani,10.0,C,Argentina,14,135062
163689,Melisa Gretter,11.0,PG,Argentina,14,135062
401377,Sofia Lombardero,13.0,SG,Argentina,14,135062
214723,Florencia Chagas,14.0,SG,Argentina,14,135062
328245,Milagros Morell,15.0,PF,Argentina,14,135062
221602,Dalma Piri,2.0,SG,Argentina,14,135062
159332,Macarena D'urso,20.0,PG,Argentina,14,135062
419538,Olivia Oltmann,21.0,G,Argentina,14,135062
301664,Julia Fernandez,3.0,C,Argentina,14,135062
302892,Nerea Lagowski,5.0,C,Argentina,14,135062
170619,Diana Cabrera,7.0,C,Argentina,14,135062
200337,Julieta Mungo,9.0,C,Argentina,14,135062
261208,Florence Dallow,12.0,SF,New Zealand,113,135062
206251,Ella Tofaeono,14.0,PF,New Zealand,113,135062
258137,Emilia Shearer,2.0,SF,New Zealand,113,135062
239275,Tayla Dalton,26.0,G,New Zealand,113,135062
328112,Bailey Flavell,3.0,G,New Zealand,113,135062
317318,Lauren Whittaker,33.0,PF,New Zealand,113,135062
328255,Pahlyss Hokianga,4.0,PG,New Zealand,113,135062
219363,Charlotte Whittaker,45.0,PF,New Zealand,113,135062
377527,Imani Rasmussen,5.0,F,New Zealand,113,135062
296082,Ella Jade Brow,6.0,G,New Zealand,113,135062
369879,Agot Makeer,1.0,G,Canada,34,135067
318775,Jasmine Bascoe,10.0,PG,Canada,34,135067
320676,Syla Swords,12.0,G,Canada,34,135067
161433,Kayla Alexander,14.0,C,Canada,34,135067
368225,Avery Howell,23.0,G,Canada,34,135067
250669,Faith Dut,25.0,C,Canada,34,135067
297698,Delaney Gibb,3.0,G,Canada,34,135067
342479,Cearah Parchment,30.0,F,Canada,34,135067
188714,Sami Hill,4.0,G,Canada,34,135067
217051,Shaina Pellington,7.0,PG,Canada,34,135067
266912,Tara Wallack,8.0,SF,Canada,34,135067
172742,Yvonne Ejim,9.0,PF,Canada,34,135067
272478,Fanta Gassama,10.0,SF,Senegal,134,135067
290189,Fatou Kine Filor,12.0,C,Senegal,134,135067
186583,Bintou Lo Sylla,16.0,C,Senegal,134,135067
290089,Khadija Faye,20.0,C,Senegal,134,135067
287408,Ndioma Kane,22.0,F,Senegal,134,135067
274485,Khadidiatou Diouf,28.0,PF,Senegal,134,135067
231012,Madjiguene Sene,35.0,C,Senegal,134,135067
203560,Maty Fall,4.0,G,Senegal,134,135067
420942,Nogaye Diagne,66.0,F,Senegal,134,135067
278227,Sabou Gueye,7.0,PG,Senegal,134,135067
303627,Lena Timera,77.0,SG,Senegal,134,135067
273042,Cierra Dillard,8.0,G,Senegal,134,135067
