gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
135061,Brazil,27,BRA,61,86.36306451612904,70.6,2,72.9,30.4,13.9,67.7,70.0
135061,South Sudan,9716,SSD,63,86.36306451612904,72.9,3,70.6,28.8,17.4,87.0,50.0
135062,Argentina,14,ARG,35,69.32255376344085,50.5,1,82.2,23.5,15.9,74.2,84.6
135062,New Zealand,113,NZL,57,69.32255376344085,82.2,3,50.5,54.3,31.7,83.3,85.7
135067,Canada,34,CAN,72,71.45988416988416,100.8,3,79.8,45.8,21.0,78.4,85.2
135067,Senegal,134,SEN,57,71.45988416988416,79.8,2,100.8,41.3,25.2,64.3,50.0
135068,Mexico,104,MEX,61,81.82141666666666,74.6,3,70.9,40.3,23.2,93.3,47.8
135068,Philippines,122,PHI,58,81.82141666666666,70.9,2,74.6,39.7,20.8,75.0,45.5
135064,South Sudan,9716,SSD,61,74.46973333333332,81.9,2,85.9,40.4,28.2,82.0,52.6
135064,Argentina,14,ARG,64,74.46973333333332,85.9,3,81.9,40.4,9.4,72.2,65.4
135063,New Zealand,113,NZL,53,74.357875,71.3,2,75.3,37.0,32.3,77.5,81.2
135063,Brazil,27,BRA,56,74.357875,75.3,2,71.3,35.7,24.2,75.0,82.4
135069,Philippines,122,PHI,38,76.47357142857143,49.7,1,111.1,32.4,30.1,50.0,93.3
135069,Canada,34,CAN,85,76.47357142857143,111.1,2,49.7,47.1,20.9,88.1,67.6
