date,award,emoji,desc,name,team,gameId,stat_val
2026-07-11,MVP,🏆,Highest total Net Pts,Micah Ojo,USA,114390,55
2026-07-11,LVP,💀,Lowest total Net Pts,Maelhys N'dri,CIV,114390,-65
2026-07-11,Heater,🔥,Highest Offensive Net Pts,Micah Ojo,USA,114390,17.8
2026-07-11,Off Night,🌑,Lowest Offensive Net Pts,Maelhys N'dri,CIV,114390,-44
2026-07-11,Stopper,🛡️,Highest Defensive Net Pts,Micah Ojo,USA,114390,37.2
2026-07-11,BBQ,🔥🥩,Lowest Defensive Net Pts,Maelhys N'dri,CIV,114390,-21
2026-07-11,Spark Plug,⚡,Best Net Pts off bench,Maliya Hunter,USA,114390,42
2026-07-11,Ice Cold,🧊,Lowest FG% (min 4 att),Jasmine Jones,AUS,114387,0
2026-07-11,Rain Maker,🌧️,Most above-break 3s made,Charis Broughton,NZL,114406,3
2026-07-11,Corner Pocket,📐,Most corner 3s made,Dominika Pencakova,CZE,114400,3
2026-07-11,Juggernaut,🚂,Most shots made at rim,Ivanna Wilson Manyacka,USA,114390,7
2026-07-11,Surgical,🔬,Most mid-range makes,Tatianna Griffin,USA,114390,2
2026-07-11,Speed Demon,💨,Most fast-break points,Ivanna Wilson Manyacka,USA,114390,10
2026-07-11,Glass Cleaner,🪟,Most total rebounds,Sofia Zuccon,ITA,114405,14
2026-07-11,Ball Hawk,🦅,Most steals,Isabel Smith,AUS,114387,7
2026-07-11,Cleanup Crew,🧹,Most putback points,Ema Bartosova,CZE,114400,8
2026-07-11,Contact Artist,🎯,Most fouls drawn,Nation Williams,USA,114390,7
2026-07-11,Hacker,🪓,Most personal fouls committed,Sophie Richardson,AUS,114387,5
2026-07-11,Facilitator,🎁,Most assists,Sienna Maurice,NZL,114406,7
2026-07-11,Hot Potato,🥔,Most turnovers,Maelhys N'dri,CIV,114390,8
2026-07-12,MVP,🏆,Highest total Net Pts,Yunshu Pang,CHN,114396,36
2026-07-12,LVP,💀,Lowest total Net Pts,Mariana Diaz,MEX,114393,-30
2026-07-12,Heater,🔥,Highest Offensive Net Pts,Kako Otsuki,JPN,114398,16
2026-07-12,Off Night,🌑,Lowest Offensive Net Pts,Mariana Diaz,MEX,114393,-27.1
2026-07-12,Stopper,🛡️,Highest Defensive Net Pts,Yunshu Pang,CHN,114396,29.4
2026-07-12,BBQ,🔥🥩,Lowest Defensive Net Pts,Ema Lorbek,SLO,114398,-13.3
2026-07-12,Spark Plug,⚡,Best Net Pts off bench,Amelia Alonso,ESP,114393,21
2026-07-12,Ice Cold,🧊,Lowest FG% (min 4 att),Charis Broughton,NZL,114403,0
2026-07-12,Rain Maker,🌧️,Most above-break 3s made,Sarlote Skrebele,LAT,114386,6
2026-07-12,Corner Pocket,📐,Most corner 3s made,Ashley Vande Ven,CAN,114408,2
2026-07-12,Juggernaut,🚂,Most shots made at rim,Hanyun Sun,CHN,114396,8
2026-07-12,Surgical,🔬,Most mid-range makes,Avery Arije,CAN,114408,3
2026-07-12,Speed Demon,💨,Most fast-break points,Joudi Elsayed,EGY,114408,6
2026-07-12,Glass Cleaner,🪟,Most total rebounds,Ema Novakova,CZE,114401,14
2026-07-12,Ball Hawk,🦅,Most steals,Katie Moors,NZL,114403,4
2026-07-12,Cleanup Crew,🧹,Most putback points,Yunshu Pang,CHN,114396,6
2026-07-12,Contact Artist,🎯,Most fouls drawn,Jane Mary Diomande,CIV,114386,9
2026-07-12,Hacker,🪓,Most personal fouls committed,Joudi Elsayed,EGY,114408,5
2026-07-12,Facilitator,🎁,Most assists,Melanija Reicela Lagunovica,LAT,114386,7
2026-07-12,Hot Potato,🥔,Most turnovers,Mariangel Serna,COL,114401,7
2026-07-14,MVP,🏆,Highest total Net Pts,Morghan Reckley,USA,114388,43
2026-07-14,LVP,💀,Lowest total Net Pts,Salimata Kone,CIV,114385,-43
2026-07-14,Heater,🔥,Highest Offensive Net Pts,Morghan Reckley,USA,114388,13.6
2026-07-14,Off Night,🌑,Lowest Offensive Net Pts,Salimata Kone,CIV,114385,-31.2
2026-07-14,Stopper,🛡️,Highest Defensive Net Pts,Trinity Ezeanatogu,ESP,114392,32.9
2026-07-14,BBQ,🔥🥩,Lowest Defensive Net Pts,Imani Rasmussen,NZL,114407,-15.7
2026-07-14,Spark Plug,⚡,Best Net Pts off bench,Nation Williams,USA,114388,23
2026-07-14,Ice Cold,🧊,Lowest FG% (min 4 att),Mariana Diaz,MEX,114395,0
2026-07-14,Rain Maker,🌧️,Most above-break 3s made,Portia Reisen,CAN,114407,5
2026-07-14,Corner Pocket,📐,Most corner 3s made,Maria Millan,COL,114402,3
2026-07-14,Juggernaut,🚂,Most shots made at rim,Jimena Velazquez,MEX,114395,9
2026-07-14,Surgical,🔬,Most mid-range makes,Arianna Robinson,USA,114388,2
2026-07-14,Speed Demon,💨,Most fast-break points,Jimena Velazquez,MEX,114395,8
2026-07-14,Glass Cleaner,🪟,Most total rebounds,Frederike Askamp,GER,114395,15
2026-07-14,Ball Hawk,🦅,Most steals,Jimena Velazquez,MEX,114395,8
2026-07-14,Cleanup Crew,🧹,Most putback points,Anna Smykovskaia,ESP,114392,6
2026-07-14,Contact Artist,🎯,Most fouls drawn,Hania  Hassabelnaby,EGY,114404,8
2026-07-14,Hacker,🪓,Most personal fouls committed,Isamar Rumbo,MEX,114395,5
2026-07-14,Facilitator,🎁,Most assists,Leonie Pfanzelt,GER,114395,7
2026-07-14,Hot Potato,🥔,Most turnovers,Ying Feng,CHN,114392,9
2026-07-15,MVP,🏆,Highest total Net Pts,Morghan Reckley,USA,132952,45
2026-07-15,LVP,💀,Lowest total Net Pts,Mariana Diaz,MEX,132952,-72
2026-07-15,Heater,🔥,Highest Offensive Net Pts,Morghan Reckley,USA,132952,20.9
2026-07-15,Off Night,🌑,Lowest Offensive Net Pts,Mariana Diaz,MEX,132952,-38.6
2026-07-15,Stopper,🛡️,Highest Defensive Net Pts,Isabel Smith,AUS,132953,34.4
2026-07-15,BBQ,🔥🥩,Lowest Defensive Net Pts,Mariana Diaz,MEX,132952,-33.4
2026-07-15,Spark Plug,⚡,Best Net Pts off bench,Maliya Hunter,USA,132952,39
2026-07-15,Ice Cold,🧊,Lowest FG% (min 4 att),Meredith Jaime,MEX,132952,0
2026-07-15,Rain Maker,🌧️,Most above-break 3s made,Micah Ojo,USA,132952,3
2026-07-15,Corner Pocket,📐,Most corner 3s made,Mariana Diaz,MEX,132952,2
2026-07-15,Juggernaut,🚂,Most shots made at rim,Madison Ryan,AUS,132953,7
2026-07-15,Surgical,🔬,Most mid-range makes,Maliya Hunter,USA,132952,3
2026-07-15,Speed Demon,💨,Most fast-break points,Amelia Alonso,ESP,132955,8
2026-07-15,Glass Cleaner,🪟,Most total rebounds,Nation Williams,USA,132952,15
2026-07-15,Ball Hawk,🦅,Most steals,Isabel Hernandez,ESP,132955,5
2026-07-15,Cleanup Crew,🧹,Most putback points,Ashley Vande Ven,CAN,132959,8
2026-07-15,Contact Artist,🎯,Most fouls drawn,Sarlote Skrebele,LAT,132954,8
2026-07-15,Hacker,🪓,Most personal fouls committed,Jordan Martin,MEX,132952,5
2026-07-15,Facilitator,🎁,Most assists,Morghan Reckley,USA,132952,9
2026-07-15,Hot Potato,🥔,Most turnovers,Portia Reisen,CAN,132959,6
2026-07-17,MVP,🏆,Highest total Net Pts,Isabel Hernandez,ESP,132967,35
2026-07-17,LVP,💀,Lowest total Net Pts,Imani Rasmussen,NZL,132967,-24
2026-07-17,Heater,🔥,Highest Offensive Net Pts,Arianna Robinson,USA,132964,6.9
2026-07-17,Off Night,🌑,Lowest Offensive Net Pts,Imani Rasmussen,NZL,132967,-22.8
2026-07-17,Stopper,🛡️,Highest Defensive Net Pts,Isabel Hernandez,ESP,132967,33.2
2026-07-17,BBQ,🔥🥩,Lowest Defensive Net Pts,Rei Ando,JPN,132965,-7.9
2026-07-17,Spark Plug,⚡,Best Net Pts off bench,Amelia Alonso,ESP,132967,23
2026-07-17,Ice Cold,🧊,Lowest FG% (min 4 att),Leonie Pfanzelt,GER,132961,0
2026-07-17,Rain Maker,🌧️,Most above-break 3s made,Isabel Hernandez,ESP,132967,5
2026-07-17,Corner Pocket,📐,Most corner 3s made,Elba Escorcia,COL,132963,2
2026-07-17,Juggernaut,🚂,Most shots made at rim,Miya Takeuchi,JPN,132965,9
2026-07-17,Surgical,🔬,Most mid-range makes,Avery Arije,CAN,132966,2
2026-07-17,Speed Demon,💨,Most fast-break points,Amelia Alonso,ESP,132967,6
2026-07-17,Glass Cleaner,🪟,Most total rebounds,Sofia Zuccon,ITA,132960,21
2026-07-17,Ball Hawk,🦅,Most steals,Isabel Hernandez,ESP,132967,5
2026-07-17,Cleanup Crew,🧹,Most putback points,Anna Smykovskaia,ESP,132967,8
2026-07-17,Contact Artist,🎯,Most fouls drawn,Evelina Sirsnina,LAT,132962,11
2026-07-17,Hacker,🪓,Most personal fouls committed,Hannah Sofia Florez Perez,COL,132963,5
2026-07-17,Facilitator,🎁,Most assists,Xuan Sun,CHN,132966,10
2026-07-17,Hot Potato,🥔,Most turnovers,Mia Wiegand,GER,132961,8
2026-07-18,MVP,🏆,Highest total Net Pts,Lara Gierlich,GER,132969,37
2026-07-18,LVP,💀,Lowest total Net Pts,Salimata Kone,CIV,132969,-45
2026-07-18,Heater,🔥,Highest Offensive Net Pts,Morghan Reckley,USA,132972,9.5
2026-07-18,Off Night,🌑,Lowest Offensive Net Pts,Salimata Kone,CIV,132969,-35.9
2026-07-18,Stopper,🛡️,Highest Defensive Net Pts,Lara Gierlich,GER,132969,29.6
2026-07-18,BBQ,🔥🥩,Lowest Defensive Net Pts,Linda Thimm,GER,132969,-15.2
2026-07-18,Spark Plug,⚡,Best Net Pts off bench,Nation Williams,USA,132972,24
2026-07-18,Ice Cold,🧊,Lowest FG% (min 4 att),Leni Schramm-Bunning,GER,132969,0
2026-07-18,Rain Maker,🌧️,Most above-break 3s made,Mia Wiegand,GER,132969,3
2026-07-18,Corner Pocket,📐,Most corner 3s made,Lara Gierlich,GER,132969,2
2026-07-18,Juggernaut,🚂,Most shots made at rim,Dominika Pencakova,CZE,132968,7
2026-07-18,Surgical,🔬,Most mid-range makes,Emilia Magni,ITA,132982,3
2026-07-18,Speed Demon,💨,Most fast-break points,Jimena Velazquez,MEX,132968,12
2026-07-18,Glass Cleaner,🪟,Most total rebounds,Sofia Zuccon,ITA,132982,17
2026-07-18,Ball Hawk,🦅,Most steals,Miya Takeuchi,JPN,132971,6
2026-07-18,Cleanup Crew,🧹,Most putback points,Mariana Nako Moni,ITA,132982,6
2026-07-18,Contact Artist,🎯,Most fouls drawn,Jane Mary Diomande,CIV,132969,8
2026-07-18,Hacker,🪓,Most personal fouls committed,Ines Fritz,SLO,132970,5
2026-07-18,Facilitator,🎁,Most assists,Jimena Velazquez,MEX,132968,9
2026-07-18,Hot Potato,🥔,Most turnovers,Frederike Askamp,GER,132969,8
2026-07-19,MVP,🏆,Highest total Net Pts,Mia Wiegand,GER,132975,23
2026-07-19,LVP,💀,Lowest total Net Pts,Keren Bertel,COL,132976,-20
2026-07-19,Heater,🔥,Highest Offensive Net Pts,Enija Brokane,LAT,132976,7.2
2026-07-19,Off Night,🌑,Lowest Offensive Net Pts,Anna Sablich,ITA,132977,-13.7
2026-07-19,Stopper,🛡️,Highest Defensive Net Pts,Isabella Martinez,MEX,132974,20
2026-07-19,BBQ,🔥🥩,Lowest Defensive Net Pts,Meredith Jaime,MEX,132974,-7.3
2026-07-19,Spark Plug,⚡,Best Net Pts off bench,Isabella Martinez,MEX,132974,22
2026-07-19,Ice Cold,🧊,Lowest FG% (min 4 att),Jelizaveta Naidjonova,LAT,132976,0
2026-07-19,Rain Maker,🌧️,Most above-break 3s made,Fatima Diouf,CIV,132974,4
2026-07-19,Corner Pocket,📐,Most corner 3s made,Micah Ojo,USA,132981,2
2026-07-19,Juggernaut,🚂,Most shots made at rim,Hania  Hassabelnaby,EGY,132977,9
2026-07-19,Surgical,🔬,Most mid-range makes,Mariana Paz,COL,132976,2
2026-07-19,Speed Demon,💨,Most fast-break points,Jimena Velazquez,MEX,132974,8
2026-07-19,Glass Cleaner,🪟,Most total rebounds,Emilia Ainley,NZL,132979,17
2026-07-19,Ball Hawk,🦅,Most steals,Isabel Hernandez,ESP,132981,8
2026-07-19,Cleanup Crew,🧹,Most putback points,Zeina Amin,EGY,132977,8
2026-07-19,Contact Artist,🎯,Most fouls drawn,Fatima Diouf,CIV,132974,9
2026-07-19,Hacker,🪓,Most personal fouls committed,Ivanna Olalde,MEX,132974,5
2026-07-19,Facilitator,🎁,Most assists,Xuan Sun,CHN,132979,10
2026-07-19,Hot Potato,🥔,Most turnovers,Mia Wiegand,GER,132975,8
