gameId,nationality,teamId,name,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,mins,secs,10+ ppg,FGP,MP
114387,Australia,16,Jay Sebasio,413854,-1,FALSE,1,0,0,0,2,0,0,0,0,NA,2,0,0,0,0,1,1,0,1,1,0,1,2,0,0,8:39,8,39,0,0,8.7
114387,Australia,16,Daisy Hocking,374917,0,FALSE,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,3:3,3,3,0,0,3
114387,Australia,16,Isabel Smith,375151,-3,TRUE,1,2,2,3,12,2,0.167,3,0,0,15,2,2,2,0.133,0,4,6,2,7,1,4,11,2,18.2,28:23,28,23,0,0.133,28.4
114387,Australia,16,Olivia Olechnowicz,375153,11,TRUE,2,0,2,5,8,2,0.25,4,2,0.5,12,4,4,3,0.25,3,1,13,5,7,5,13,8,2,25,26:2,26,2,1,0.333,26
114387,Australia,16,Jade Sherrington,374416,4,FALSE,2,0,0,0,3,3,1,4,2,0.5,7,5,0,0,0,0,1,12,0,1,1,12,3,3,100,21:23,21,23,1,0.714,21.4
114387,Australia,16,Jasmine Jones,397715,5,FALSE,3,0,4,0,0,0,NA,4,0,0,4,0,0,0,0,0,0,0,4,1,0,4,0,0,0,16:9,16,9,0,0,16.1
114387,Australia,16,Sophie Richardson,374418,0,FALSE,1,1,0,4,5,4,0.8,3,1,0.333,8,5,3,3,0.375,1,5,14,1,1,0,15,5,4,80,16:41,16,41,1,0.625,16.7
114387,Australia,16,Madison Ryan,362696,18,TRUE,4,4,1,3,9,6,0.667,1,0,0,10,6,2,2,0.2,3,1,14,4,3,3,22,9,6,66.7,27:34,27,34,1,0.6,27.6
114387,Australia,16,Lily Mapp,376691,1,FALSE,0,1,2,0,5,2,0.4,0,0,NA,5,2,0,0,0,0,2,4,2,1,1,4,5,2,40,11:49,11,49,0,0.4,11.8
114387,Australia,16,Eliza Ashby,397713,0,FALSE,1,0,1,1,0,0,NA,0,0,NA,0,0,2,2,Inf,1,2,2,2,0,0,5,0,0,0,2:38,2,38,0,NA,2.6
114387,Australia,16,Matilda Trout,397396,20,TRUE,4,0,7,6,3,2,0.667,1,1,1,4,3,5,2,0.5,2,4,9,9,0,3,15,3,2,66.7,24:58,24,58,0,0.75,25
114387,Australia,16,Jemyma Manyok,378927,0,TRUE,0,1,2,1,8,1,0.125,0,0,NA,8,1,2,0,0,6,0,2,8,0,1,1,8,1,12.5,12:41,12,41,0,0.125,12.7
