gameId,date,fibaZone,competition,round,team,team_short,Win,Loss,Differential
114385,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Côte d'Ivoire,CIV,0,1,-52
114385,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Australia,AUS,1,0,52
114386,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Latvia,LAT,1,0,25
114386,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Côte d'Ivoire,CIV,0,1,-25
114387,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Australia,AUS,1,0,11
114387,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Latvia,LAT,0,1,-11
114388,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Latvia,LAT,0,1,-52
114388,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,USA,USA,1,0,52
114389,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,USA,USA,1,0,2
114389,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Australia,AUS,0,1,-2
114390,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Côte d'Ivoire,CIV,0,1,-93
114390,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,USA,USA,1,0,93
114391,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Mexico,MEX,0,1,-29
114391,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,People 's Republic of China,CHN,1,0,29
114392,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,People 's Republic of China,CHN,0,1,-36
114392,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Spain,ESP,1,0,36
114393,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Spain,ESP,1,0,35
114393,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Mexico,MEX,0,1,-35
114394,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Germany,GER,0,1,-26
114394,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Spain,ESP,1,0,26
114395,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Germany,GER,1,0,19
114395,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Mexico,MEX,0,1,-19
114396,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,People 's Republic of China,CHN,1,0,25
114396,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Germany,GER,0,1,-25
114397,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Japan,JPN,1,0,20
114397,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Czechia,CZE,0,1,-20
114398,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Slovenia,SLO,0,1,-30
