gameId,nationality,teamId,shortCode,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,ID,10+ ppg,MP,opp_nationality,opp_teamId,opp_shortCode,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO
114387,Australia,16,AUS,19,9,23,20,43,23,56,22,39.3,20,6,30,76,28,36.8,20,14,70,55,22,40,22,76,24,15,1,4,200,Latvia,610,LAT,14,3,30,19,49,22,33,9,27.3,22,9,40.9,55,18,32.7,31,20,64.5,28,8,28.6,23,65,8,29
114387,Latvia,610,LAT,14,3,30,19,49,22,33,9,27.3,22,9,40.9,55,18,32.7,31,20,64.5,28,8,28.6,23,65,8,29,2,3,200,Australia,16,AUS,19,9,23,20,43,23,56,22,39.3,20,6,30,76,28,36.8,20,14,70,55,22,40,22,76,24,15
114390,Côte d'Ivoire,44,CIV,8,4,18,10,28,16,32,6,18.8,15,3,20,47,9,19.2,12,3,25,25,5,20,26,24,7,46,1,1,200,USA,154,USA,27,8,32,34,66,26,73,41,56.2,17,3,17.7,90,44,48.9,40,26,65,57,35,61.4,16,117,33,12
114390,USA,154,USA,27,8,32,34,66,26,73,41,56.2,17,3,17.7,90,44,48.9,40,26,65,57,35,61.4,16,117,33,12,2,6,200,Côte d'Ivoire,44,CIV,8,4,18,10,28,16,32,6,18.8,15,3,20,47,9,19.2,12,3,25,25,5,20,26,24,7,46
114406,Egypt,53,EGY,12,3,25,16,41,17,54,21,38.9,19,4,21.1,73,25,34.3,18,11,61.1,51,20,39.2,18,65,14,20,1,3,200,New Zealand,113,NZL,23,2,34,14,48,18,41,19,46.3,25,11,44,66,30,45.5,18,8,44.4,35,18,51.4,17,79,11,25
114406,New Zealand,113,NZL,23,2,34,14,48,18,41,19,46.3,25,11,44,66,30,45.5,18,8,44.4,35,18,51.4,17,79,11,25,2,4,200,Egypt,53,EGY,12,3,25,16,41,17,54,21,38.9,19,4,21.1,73,25,34.3,18,11,61.1,51,20,39.2,18,65,14,20
114405,Italy,83,ITA,16,4,31,16,47,13,44,13,29.6,26,8,30.8,70,21,30,10,4,40,26,12,46.2,25,54,6,16,1,2,200,Canada,34,CAN,17,5,34,22,56,25,43,13,30.2,23,8,34.8,66,21,31.8,31,19,61.3,34,12,35.3,13,69,6,15
114405,Canada,34,CAN,17,5,34,22,56,25,43,13,30.2,23,8,34.8,66,21,31.8,31,19,61.3,34,12,35.3,13,69,6,15,2,2,200,Italy,83,ITA,16,4,31,16,47,13,44,13,29.6,26,8,30.8,70,21,30,10,4,40,26,12,46.2,25,54,6,16
114399,Japan,85,JPN,14,1,35,17,52,21,35,17,48.6,35,7,20,70,24,34.3,25,15,60,30,14,46.7,23,70,8,10,1,3,200,Colombia,40,COL,8,2,32,12,44,23,41,11,26.8,12,3,25,53,14,26.4,33,17,51.5,33,11,33.3,21,48,5,17
114399,Colombia,40,COL,8,2,32,12,44,23,41,11,26.8,12,3,25,53,14,26.4,33,17,51.5,33,11,33.3,21,48,5,17,2,2,200,Japan,85,JPN,14,1,35,17,52,21,35,17,48.6,35,7,20,70,24,34.3,25,15,60,30,14,46.7,23,70,8,10
