gameId,date,home_team,home_short,home_id,home_score,away_team,away_short,away_id,away_score,country,city,fibaZone,competition,round,game_link
114387,2026-07-11,Australia,AUS,16,76,Latvia,LAT,610,65,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114387-AUS-LAT
114390,2026-07-11,Côte d'Ivoire,CIV,44,24,USA,USA,154,117,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114390-CIV-USA
114406,2026-07-11,Egypt,EGY,53,65,New Zealand,NZL,113,79,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114406-EGY-NZL
114405,2026-07-11,Italy,ITA,83,54,Canada,CAN,34,69,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114405-ITA-CAN
114399,2026-07-11,Japan,JPN,85,70,Colombia,COL,40,48,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114399-JPN-COL
114400,2026-07-11,Czechia,CZE,886,55,Slovenia,SLO,618,63,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114400-CZE-SLO
114391,2026-07-11,Mexico,MEX,104,51,People 's Republic of China,CHN,39,80,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114391-MEX-CHN
114394,2026-07-11,Germany,GER,64,40,Spain,ESP,138,66,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114394-GER-ESP
114403,2026-07-12,New Zealand,NZL,113,68,Italy,ITA,83,56,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114403-NZL-ITA
114408,2026-07-12,Canada,CAN,34,76,Egypt,EGY,53,56,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114408-CAN-EGY
114396,2026-07-12,People 's Republic of China,CHN,39,79,Germany,GER,64,54,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114396-CHN-GER
114393,2026-07-12,Spain,ESP,138,75,Mexico,MEX,104,40,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114393-ESP-MEX
114398,2026-07-12,Slovenia,SLO,618,59,Japan,JPN,85,89,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114398-SLO-JPN
114401,2026-07-12,Colombia,COL,40,52,Czechia,CZE,886,46,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114401-COL-CZE
114386,2026-07-12,Latvia,LAT,610,69,Côte d'Ivoire,CIV,44,44,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114386-LAT-CIV
114389,2026-07-12,USA,USA,154,74,Australia,AUS,16,72,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114389-USA-AUS
114395,2026-07-14,Germany,GER,64,61,Mexico,MEX,104,42,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114395-GER-MEX
114392,2026-07-14,People 's Republic of China,CHN,39,36,Spain,ESP,138,72,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114392-CHN-ESP
114385,2026-07-14,Côte d'Ivoire,CIV,44,37,Australia,AUS,16,89,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114385-CIV-AUS
114388,2026-07-14,Latvia,LAT,610,53,USA,USA,154,105,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114388-LAT-USA
114397,2026-07-14,Japan,JPN,85,69,Czechia,CZE,886,49,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114397-JPN-CZE
114402,2026-07-14,Slovenia,SLO,618,86,Colombia,COL,40,59,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114402-SLO-COL
114404,2026-07-14,Egypt,EGY,53,49,Italy,ITA,83,60,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114404-EGY-ITA
114407,2026-07-14,Canada,CAN,34,85,New Zealand,NZL,113,76,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Group Phase,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/114407-CAN-NZL
132952,2026-07-15,USA,USA,154,112,Mexico,MEX,104,36,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132952-USA-MEX
132954,2026-07-15,Latvia,LAT,610,60,People 's Republic of China,CHN,39,83,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132954-LAT-CHN
132953,2026-07-15,Australia,AUS,16,71,Germany,GER,64,45,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132953-AUS-GER
132955,2026-07-15,Côte d'Ivoire,CIV,44,33,Spain,ESP,138,87,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132955-CIV-ESP
132958,2026-07-15,Colombia,COL,40,40,New Zealand,NZL,113,60,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132958-COL-NZL
132959,2026-07-15,Czechia,CZE,886,40,Canada,CAN,34,67,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132959-CZE-CAN
132957,2026-07-15,Slovenia,SLO,618,66,Italy,ITA,83,44,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132957-SLO-ITA
132956,2026-07-15,Japan,JPN,85,80,Egypt,EGY,53,53,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Round of 16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132956-JPN-EGY
132963,2026-07-17,Côte d'Ivoire,CIV,44,51,Colombia,COL,40,66,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132963-CIV-COL
132965,2026-07-17,Australia,AUS,16,70,Japan,JPN,85,64,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132965-AUS-JPN
132961,2026-07-17,Germany,GER,64,54,Egypt,EGY,53,58,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132961-GER-EGY
132967,2026-07-17,Spain,ESP,138,84,New Zealand,NZL,113,55,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132967-ESP-NZL
132962,2026-07-17,Latvia,LAT,610,72,Czechia,CZE,886,59,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Class 9-16,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132962-LAT-CZE
132966,2026-07-17,People 's Republic of China,CHN,39,68,Canada,CAN,34,69,Czechia,Brno,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,https://www.fiba.basketball/en/events/fiba-u17-womens-basketball-world-cup-2026/games/132966-CHN-CAN
