date,gameId,name,team,nationality,PTS,REB,OR,DR,AS,ST,BS,PF,FD,FTM,FGA,FGM,FG3M,TO,MP,PM,off_net,def_net,stocks,starter,WL,WL_raw,corner3m,abovebk3m,rim_makes,midrange_makes,fb_pts,putback_pts
2026-07-11,114387,Jay Sebasio,AUS,Australia,0,1,1,0,1,1,0,1,0,0,2,0,0,0,8.7,-1,-0.2,-0.8,1,FALSE,+11,11,0,0,0,0,0,0
2026-07-11,114387,Daisy Hocking,AUS,Australia,0,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,0,2,FALSE,+11,11,0,0,0,0,0,0
2026-07-11,114387,Isabel Smith,AUS,Australia,6,2,0,2,1,7,2,4,3,2,15,2,0,1,28.4,-3,-0.5,-2.5,9,TRUE,+11,11,0,0,1,0,0,0
2026-07-11,114387,Olivia Olechnowicz,AUS,Australia,13,5,3,2,2,7,0,1,5,3,12,4,2,5,26,11,1.7,9.3,7,TRUE,+11,11,1,1,2,0,5,0
2026-07-11,114387,Jade Sherrington,AUS,Australia,12,0,0,0,2,1,0,1,0,0,7,5,2,1,21.4,4,0.6,3.4,1,FALSE,+11,11,0,2,3,0,3,0
2026-07-11,114387,Jasmine Jones,AUS,Australia,0,4,0,4,3,1,0,0,0,0,4,0,0,0,16.1,5,0.8,4.2,1,FALSE,+11,11,0,0,0,0,0,0
2026-07-11,114387,Sophie Richardson,AUS,Australia,14,1,1,0,1,1,1,5,4,3,8,5,1,0,16.7,0,0,0,2,FALSE,+11,11,0,1,4,0,2,2
2026-07-11,114387,Madison Ryan,AUS,Australia,14,4,3,1,4,3,4,1,3,2,10,6,0,3,27.6,18,2.8,15.2,7,TRUE,+11,11,0,0,6,0,6,2
2026-07-11,114387,Lily Mapp,AUS,Australia,4,2,0,2,0,1,1,2,0,0,5,2,0,1,11.8,1,0.2,0.8,2,FALSE,+11,11,0,0,2,0,0,0
2026-07-11,114387,Eliza Ashby,AUS,Australia,2,2,1,1,1,0,0,2,1,2,0,0,0,0,2.6,0,0,0,0,FALSE,+11,11,0,0,0,0,0,0
2026-07-11,114387,Matilda Trout,AUS,Australia,9,9,2,7,4,0,0,4,6,2,4,3,1,3,25,20,3.1,16.9,0,TRUE,+11,11,0,1,2,0,0,0
2026-07-11,114387,Jemyma Manyok,AUS,Australia,2,8,6,2,0,0,1,0,1,0,8,1,0,1,12.7,0,0,0,1,TRUE,+11,11,0,0,1,0,0,0
2026-07-11,114387,Jelizaveta Naidjonova,LAT,Latvia,12,1,0,1,2,1,0,2,4,2,9,4,2,3,21.2,-6,-5.1,-0.9,1,FALSE,-11,-11,0,2,1,0,2,0
2026-07-11,114387,Enija Brokane,LAT,Latvia,3,1,1,0,2,1,0,2,0,0,2,1,1,4,13.4,-17,-14.3,-2.7,1,TRUE,-11,-11,0,1,0,0,0,0
2026-07-11,114387,Adele Priedite,LAT,Latvia,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10.5,-2,-1.7,-0.3,0,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Monta Culkstena,LAT,Latvia,1,1,0,1,1,1,0,2,1,1,0,0,0,1,6.7,6,5.1,0.9,1,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Melanija Reicela Lagunovica,LAT,Latvia,2,4,0,4,2,0,0,0,2,2,1,0,0,6,15.3,2,1.7,0.3,0,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Marta Arsentjeva,LAT,Latvia,5,3,1,2,1,0,1,1,1,2,3,1,1,0,15.3,-10,-8.4,-1.6,1,TRUE,-11,-11,0,1,0,0,0,0
2026-07-11,114387,Patricija Tikmere,LAT,Latvia,6,4,0,4,0,1,0,4,5,4,6,1,0,1,19.9,0,0,0,1,TRUE,-11,-11,0,0,0,1,0,0
2026-07-11,114387,Darina Ivanova,LAT,Latvia,3,6,2,4,1,1,2,2,2,1,3,1,0,2,20.1,-11,-9.3,-1.7,3,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Laura Kikuste,LAT,Latvia,0,2,0,2,0,0,0,0,0,0,1,0,0,4,7.2,-1,-0.8,-0.2,0,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Evelina Sirsnina,LAT,Latvia,14,3,3,0,1,1,0,4,2,4,13,4,2,3,26.9,-9,-7.6,-1.4,1,TRUE,-11,-11,0,2,2,0,0,0
2026-07-11,114387,Madara Sakalova,LAT,Latvia,1,8,1,7,2,0,0,2,1,1,2,0,0,1,14.2,1,0.8,0.2,0,FALSE,-11,-11,0,0,0,0,0,0
2026-07-11,114387,Sarlote Skrebele,LAT,Latvia,18,3,0,3,2,2,0,2,4,3,15,6,3,3,29.3,-8,-6.7,-1.3,2,TRUE,-11,-11,1,2,3,0,4,0
2026-07-11,114390,Salimata Kone,CIV,Côte d'Ivoire,0,0,0,0,1,1,0,3,1,0,3,0,0,5,22.4,-53,-35.9,-17.1,1,TRUE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Fatima Diouf,CIV,Côte d'Ivoire,11,2,0,2,0,1,0,3,0,0,14,4,3,6,26.5,-55,-37.2,-17.8,1,TRUE,-93,-93,2,1,0,1,0,0
2026-07-11,114390,Sarah Keita,CIV,Côte d'Ivoire,0,4,3,1,0,0,0,3,2,0,1,0,0,1,13.2,-31,-21,-10,0,TRUE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Ella Kone,CIV,Côte d'Ivoire,3,1,0,1,0,1,0,2,1,1,2,1,0,5,11.7,-30,-20.3,-9.7,1,FALSE,-93,-93,0,0,1,0,0,0
2026-07-11,114390,Fatima  Konate,CIV,Côte d'Ivoire,0,0,0,0,3,0,0,1,1,0,0,0,0,2,5.8,-13,-8.8,-4.2,0,FALSE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Jane Mary Diomande,CIV,Côte d'Ivoire,0,1,1,0,1,4,1,5,4,0,6,0,0,5,28.1,-61,-41.3,-19.7,5,TRUE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Maelhys N'dri,CIV,Côte d'Ivoire,4,4,2,2,1,0,2,1,1,0,5,2,0,8,29.2,-65,-44,-21,2,TRUE,-93,-93,0,0,2,0,0,0
2026-07-11,114390,Abigail Dia,CIV,Côte d'Ivoire,5,2,1,1,1,0,0,3,4,1,9,2,0,6,21.3,-55,-37.2,-17.8,0,FALSE,-93,-93,0,0,2,0,2,0
2026-07-11,114390,Lalya  Diarisso,CIV,Côte d'Ivoire,0,2,0,2,0,0,0,1,0,0,2,0,0,1,11.3,-31,-21,-10,0,FALSE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Aichata Mambone,CIV,Côte d'Ivoire,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14.1,-34,-23,-11,0,FALSE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Aminata  Kone,CIV,Côte d'Ivoire,1,3,0,3,1,0,1,3,1,1,5,0,0,3,15.4,-35,-23.7,-11.3,1,FALSE,-93,-93,0,0,0,0,0,0
2026-07-11,114390,Morghan Reckley,USA,USA,6,2,0,2,3,4,0,2,2,2,7,2,0,0,19.2,35,11.3,23.7,4,FALSE,+93,93,0,0,1,1,4,0
2026-07-11,114390,Nation Williams,USA,USA,11,11,5,6,2,6,2,4,7,5,9,3,0,2,18.1,39,12.6,26.4,8,FALSE,+93,93,0,0,2,0,2,2
2026-07-11,114390,Tatianna Griffin,USA,USA,15,6,3,3,4,4,0,0,1,1,14,7,0,1,19.5,41,13.2,27.8,4,FALSE,+93,93,0,0,4,2,2,4
2026-07-11,114390,Ivanna Wilson Manyacka,USA,USA,21,3,1,2,4,6,2,2,0,0,12,10,1,1,15.9,49,15.8,33.2,8,TRUE,+93,93,1,0,7,2,10,2
2026-07-11,114390,Micah Ojo,USA,USA,9,5,3,2,2,5,1,1,3,5,7,2,0,1,17.4,55,17.8,37.2,6,TRUE,+93,93,0,0,1,0,2,0
2026-07-11,114390,Maliya Hunter,USA,USA,6,9,7,2,2,3,0,2,2,0,7,3,0,1,19.9,42,13.6,28.4,3,FALSE,+93,93,0,0,2,1,2,2
2026-07-11,114390,Arianna Robinson,USA,USA,11,4,3,1,3,3,0,0,1,1,7,5,0,2,18.4,40,12.9,27.1,3,FALSE,+93,93,0,0,5,0,4,4
2026-07-11,114390,Olivia Jones,USA,USA,9,3,0,3,5,0,0,0,2,4,5,2,1,1,19.2,53,17.1,35.9,0,TRUE,+93,93,0,1,1,0,2,0
2026-07-11,114390,Eve Long,USA,USA,14,5,2,3,2,0,2,2,2,4,12,5,0,0,18.4,47,15.2,31.8,2,TRUE,+93,93,0,0,5,0,8,2
2026-07-11,114390,Nya Riak,USA,USA,4,5,1,4,0,1,0,2,4,2,4,1,0,0,16,25,8.1,16.9,1,FALSE,+93,93,0,0,1,0,0,2
2026-07-11,114390,Caroline Bradley,USA,USA,11,10,6,4,0,1,1,1,2,2,6,4,1,2,18,39,12.6,26.4,2,TRUE,+93,93,0,1,3,0,0,6
2026-07-11,114406,Zeina Amin,EGY,Egypt,6,8,4,4,3,2,1,4,2,2,6,2,0,3,24.4,-6,-4.7,-1.3,3,TRUE,-14,-14,0,0,2,0,0,4
2026-07-11,114406,Habiba Soliman,EGY,Egypt,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7.2,-5,-4,-1,0,FALSE,-14,-14,0,0,0,0,0,0
2026-07-11,114406,Leila  Eissa,EGY,Egypt,14,2,0,2,0,2,0,1,1,1,13,6,1,0,27.3,-3,-2.4,-0.6,2,TRUE,-14,-14,0,1,2,0,2,0
2026-07-11,114406,Joudi Elsayed,EGY,Egypt,8,3,1,2,2,1,1,2,0,0,11,3,2,5,26.5,-8,-6.3,-1.7,2,TRUE,-14,-14,0,2,1,0,0,0
2026-07-11,114406,Hala Fetet,EGY,Egypt,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4.3,0,0,0,0,FALSE,-14,-14,0,0,0,0,0,0
2026-07-11,114406,Mariam Elshenawy,EGY,Egypt,7,7,3,4,1,1,0,4,5,1,7,3,0,2,24.4,-12,-9.5,-2.5,1,TRUE,-14,-14,0,0,3,0,0,4
2026-07-11,114406,Jodi  Abdalla,EGY,Egypt,10,3,1,2,1,1,0,3,3,4,8,3,0,2,22.4,-2,-1.6,-0.4,1,FALSE,-14,-14,0,0,3,0,0,2
2026-07-11,114406,Fatma Abdella,EGY,Egypt,14,2,0,2,1,2,0,1,3,3,12,5,1,3,19.8,-3,-2.4,-0.6,2,TRUE,-14,-14,0,1,4,0,2,0
2026-07-11,114406,Dana Abdalaa,EGY,Egypt,2,2,0,2,3,1,0,0,0,0,3,1,0,2,17.7,-10,-7.9,-2.1,1,FALSE,-14,-14,0,0,0,1,0,0
2026-07-11,114406,Hania  Hassabelnaby,EGY,Egypt,4,5,2,3,1,4,1,1,2,0,10,2,0,2,21.5,-13,-10.3,-2.7,5,FALSE,-14,-14,0,0,2,0,2,0
2026-07-11,114406,Sedra   Elshafey,EGY,Egypt,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4.5,-8,-6.3,-1.7,0,FALSE,-14,-14,0,0,0,0,0,0
2026-07-11,114406,Areta Kahura,NZL,New Zealand,4,1,0,1,1,0,0,0,0,0,6,2,0,2,11.3,-5,-1,-4,0,FALSE,+14,14,0,0,1,1,2,0
2026-07-11,114406,Charis Broughton,NZL,New Zealand,18,1,0,1,1,0,0,1,2,2,9,6,4,3,18.5,12,2.5,9.5,0,TRUE,+14,14,1,3,2,0,7,0
2026-07-11,114406,Imani Rasmussen,NZL,New Zealand,14,11,4,7,1,1,1,4,4,2,14,6,0,4,22.1,9,1.9,7.1,2,TRUE,+14,14,0,0,4,0,4,0
2026-07-11,114406,Sinai Foai,NZL,New Zealand,0,0,0,0,1,0,0,1,1,0,0,0,0,1,7.8,-4,-0.8,-3.2,0,FALSE,+14,14,0,0,0,0,0,0
2026-07-11,114406,Shamar Broughton,NZL,New Zealand,10,3,1,2,3,1,0,2,1,0,7,4,2,4,21.3,0,0,0,1,FALSE,+14,14,0,2,0,1,0,0
2026-07-11,114406,Ava Jones,NZL,New Zealand,14,3,1,2,1,6,0,0,3,0,8,5,4,2,20.2,19,4,15,6,TRUE,+14,14,1,3,1,0,0,0
2026-07-11,114406,Elisa Brown,NZL,New Zealand,4,1,1,0,2,0,0,1,0,0,5,2,0,2,10.6,1,0.2,0.8,0,FALSE,+14,14,0,0,2,0,2,2
2026-07-11,114406,Emilia Ainley,NZL,New Zealand,4,7,3,4,2,1,1,2,3,2,3,1,0,2,25.8,9,1.9,7.1,2,TRUE,+14,14,0,0,1,0,0,2
2026-07-11,114406,Katie Moors,NZL,New Zealand,0,5,0,5,2,1,0,2,0,0,1,0,0,1,12.4,4,0.8,3.2,1,FALSE,+14,14,0,0,0,0,0,0
2026-07-11,114406,Sienna Maurice,NZL,New Zealand,2,6,0,6,7,0,0,1,1,0,3,1,0,1,23,18,3.8,14.2,0,TRUE,+14,14,0,0,1,0,2,0
2026-07-11,114406,Madelin Eliadis,NZL,New Zealand,9,4,1,3,1,0,0,2,2,2,9,3,1,1,10.6,1,0.2,0.8,0,FALSE,+14,14,1,0,2,0,2,3
2026-07-11,114406,Nahala Toeleiu,NZL,New Zealand,0,3,2,1,1,1,0,1,1,0,1,0,0,2,16.4,6,1.3,4.7,1,FALSE,+14,14,0,0,0,0,0,0
2026-07-11,114405,Olivia Lelli,ITA,Italy,6,3,3,0,2,0,0,5,0,0,8,3,0,1,14.7,-9,-7.4,-1.6,0,FALSE,-15,-15,0,0,2,0,2,6
2026-07-11,114405,Alessandra Padulo,ITA,Italy,2,4,0,4,1,0,0,4,0,0,5,1,0,2,11.2,1,0.8,0.2,0,FALSE,-15,-15,0,0,0,1,0,0
2026-07-11,114405,Emilia Magni,ITA,Italy,0,1,0,1,2,0,0,1,0,0,4,0,0,0,12.5,-10,-8.2,-1.8,0,FALSE,-15,-15,0,0,0,0,0,0
2026-07-11,114405,Isabel Hassan,ITA,Italy,12,4,0,4,2,1,1,4,2,1,13,4,3,3,25.6,-7,-5.7,-1.3,2,TRUE,-15,-15,1,2,1,0,2,0
2026-07-11,114405,Sofia Zuccon,ITA,Italy,11,14,4,10,0,3,0,2,6,1,12,5,0,1,25.2,-3,-2.5,-0.5,3,TRUE,-15,-15,0,0,5,0,2,4
2026-07-11,114405,Anna Sablich,ITA,Italy,8,2,1,1,1,0,1,2,2,2,7,2,2,1,21.4,-9,-7.4,-1.6,1,TRUE,-15,-15,1,1,0,0,0,3
2026-07-11,114405,Aisha Diagne,ITA,Italy,6,0,0,0,3,2,1,1,1,0,3,2,2,0,14.9,5,4.1,0.9,3,TRUE,-15,-15,1,1,0,0,0,0
