gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
114387,Australia,16,AUS,76,78.47311904761904,96.8,4,82.8,40.8,19.1,54.8,67.9
114387,Latvia,610,LAT,65,78.47311904761904,82.8,3,96.8,40.9,37,60,77.8
114390,Côte d'Ivoire,44,CIV,24,86.96836996336997,27.6,1,134.5,22.3,52.9,34.6,88.9
114390,USA,154,USA,117,86.96836996336997,134.5,6,27.6,50.6,13.8,76.2,61.4
114406,Egypt,53,EGY,65,84.06855384615385,77.3,3,94,37,23.8,64.1,48
114406,New Zealand,113,NZL,79,84.06855384615385,94,4,77.3,53.8,29.7,68,76.7
114405,Italy,83,ITA,54,73.3178037735849,73.7,2,94.1,35.7,21.8,58.5,76.2
114405,Canada,34,CAN,69,73.3178037735849,94.1,2,73.7,37.9,20.5,68,81
114399,Japan,85,JPN,70,72.73460269214068,96.2,3,66,39.3,13.7,74.5,58.3
114399,Colombia,40,COL,48,72.73460269214068,66,2,96.2,29.2,23.4,65.3,57.1
114400,Czechia,886,CZE,55,74.42153846153846,73.9,1,84.7,33.8,24.2,59,60
114400,Slovenia,618,SLO,63,74.42153846153846,84.7,3,73.9,35.8,28.2,61.5,100
114391,Mexico,104,MEX,51,74.31021538461539,68.6,1,107.7,29.9,10.8,64,88.2
114391,People 's Republic of China,39,CHN,80,74.31021538461539,107.7,3,68.6,45.8,13.5,84.6,82.1
114394,Germany,64,GER,40,78.40645161290323,51,0,84.2,34.1,43.4,48.4,118.2
114394,Spain,138,ESP,66,78.40645161290323,84.2,1,51,33.3,21.7,80.6,80.8
114403,New Zealand,113,NZL,68,73.61619047619048,92.4,3,76.1,42.8,28.5,81,80.8
114403,Italy,83,ITA,56,73.61619047619048,76.1,2,92.4,41,20.4,53.5,56.5
114408,Canada,34,CAN,76,76.03442324755989,100,3,73.7,40.2,19.7,77.6,87.5
114408,Egypt,53,EGY,56,76.03442324755989,73.7,1,100,35.9,17.1,58.7,65
114396,People 's Republic of China,39,CHN,79,74.41639423076923,106.2,3,72.6,46.8,17.5,69.2,57.6
114396,Germany,64,GER,54,74.41639423076923,72.6,2,106.2,37.3,32.3,54.2,72.2
114393,Spain,138,ESP,75,71.66706493506493,104.7,4,55.8,41.4,23.7,74.3,82.8
114393,Mexico,104,MEX,40,71.66706493506493,55.8,1,104.7,33.7,34.9,43.6,81.2
114398,Slovenia,618,SLO,59,72.9879794079794,80.8,4,121.9,33.3,37,83.8,106.2
114398,Japan,85,JPN,89,72.9879794079794,121.9,6,80.8,54,8.2,47.6,48.3
114401,Colombia,40,COL,52,81.70846920289856,63.6,1,56.3,28.4,29.4,65.2,100
114401,Czechia,886,CZE,46,81.70846920289856,56.3,2,63.6,18.6,20.8,70.8,100
114386,Latvia,610,LAT,69,84.76437037037036,81.4,1,51.9,41.8,29.5,74.1,87
114386,Côte d'Ivoire,44,CIV,44,84.76437037037036,51.9,2,81.4,23.8,28.3,71.1,53.3
114389,USA,154,USA,74,75.30053201970443,98.3,4,95.6,34.1,14.6,74.3,53.8
114389,Australia,16,AUS,72,75.30053201970443,95.6,2,98.3,45.1,21.2,53.4,60
114395,Germany,64,GER,61,85.90319746376812,71,2,48.9,39.4,43.1,79.2,77.3
114395,Mexico,104,MEX,42,85.90319746376812,48.9,1,71,27.3,31.4,52.2,64.7
114392,People 's Republic of China,39,CHN,36,72.04693965517241,50,0,99.9,31.9,38.9,44.8,71.4
114392,Spain,138,ESP,72,72.04693965517241,99.9,2,50,34.4,19.4,75,78.3
114385,Côte d'Ivoire,44,CIV,37,74.74066666666667,49.5,2,119.1,23.3,26.8,73.3,91.7
114385,Australia,16,AUS,89,74.74066666666667,119.1,5,49.5,62.1,18.7,80,109.1
114388,Latvia,610,LAT,53,88.60683156925909,59.8,1,118.5,32.7,36.1,50.9,120
114388,USA,154,USA,105,88.60683156925909,118.5,5,59.8,48.8,16.9,78,65.8
114397,Japan,85,JPN,69,70.577888888888907,97.8,2,69.4,38.9,15.6,56.8,70
114397,Czechia,886,CZE,49,70.577888888888907,69.4,2,97.8,30.6,32.6,68.9,77.8
114402,Slovenia,618,SLO,86,76.3053095684803,112.7,4,77.3,52.1,18.3,75.6,81.8
